# Redshift  MKO->GROND  MMT->GROND  VISTA->GROND  SUBARU->GROND  UKIRT->GROND  FourStar->GROND  SOFI->GROND
8.29  -0.165763  -0.174297  -0.173147  -0.186741  -0.172337  0.073928  0.029479
8.30  -0.164977  -0.173874  -0.172037  -0.186600  -0.171778  0.080268  0.027217
8.31  -0.163525  -0.172875  -0.170315  -0.185853  -0.170597  0.085756  0.025261
8.32  -0.161424  -0.171344  -0.167995  -0.184562  -0.168937  0.090485  0.023573
8.33  -0.158697  -0.169321  -0.165102  -0.182777  -0.166712  0.094552  0.022112
8.34  -0.155341  -0.166830  -0.161649  -0.180476  -0.163927  0.098057  0.020853
8.35  -0.151401  -0.163911  -0.157664  -0.177722  -0.160711  0.101127  0.019836
8.36  -0.146901  -0.160585  -0.153166  -0.174465  -0.157093  0.103841  0.019028
8.37  -0.141821  -0.156855  -0.148197  -0.170693  -0.153020  0.106230  0.018403
8.38  -0.136296  -0.152736  -0.142804  -0.166433  -0.148454  0.108354  0.017866
8.39  -0.130363  -0.148231  -0.137024  -0.161611  -0.143444  0.110236  0.017379
8.40  -0.124014  -0.143334  -0.130894  -0.156262  -0.138102  0.111872  0.017020
8.41  -0.117474  -0.138052  -0.124435  -0.150464  -0.132311  0.113301  0.016764
8.42  -0.110698  -0.132376  -0.117690  -0.144242  -0.126161  0.114527  0.016652
8.43  -0.103712  -0.126289  -0.110653  -0.137721  -0.119698  0.115563  0.016640
8.44  -0.096572  -0.119777  -0.103349  -0.130996  -0.112790  0.116452  0.016719
8.45  -0.089210  -0.112830  -0.095748  -0.124050  -0.105398  0.117209  0.016908
8.46  -0.081499  -0.105432  -0.087768  -0.116965  -0.097673  0.117859  0.017153
8.47  -0.073337  -0.097570  -0.079353  -0.109738  -0.089734  0.118448  0.017453
8.48  -0.064632  -0.089227  -0.070422  -0.102308  -0.081363  0.118987  0.017793
8.49  -0.055136  -0.080382  -0.060865  -0.094685  -0.072366  0.119491  0.018127
8.50  -0.044818  -0.071014  -0.050619  -0.086824  -0.062819  0.119997  0.018458
8.51  -0.033540  -0.061126  -0.039603  -0.078600  -0.052588  0.120501  0.018866
8.52  -0.021149  -0.050729  -0.027786  -0.069911  -0.041521  0.120998  0.019315
8.53  -0.007541  -0.039827  -0.015134  -0.060647  -0.029776  0.121488  0.019804
8.54  0.007154  -0.028433  -0.001696  -0.050633  -0.017411  0.121945  0.020266
8.55  0.022997  -0.016558  0.012473  -0.039652  -0.004430  0.122335  0.020666
8.56  0.039878  -0.004191  0.027169  -0.027556  0.009174  0.122644  0.021076
8.57  0.057471  0.008672  0.042190  -0.014194  0.023399  0.122852  0.021514
8.58  0.075242  0.022032  0.057184  0.000539  0.038009  0.122935  0.022005
8.59  0.092801  0.035879  0.071875  0.016664  0.052748  0.122885  0.022545
8.60  0.109611  0.050187  0.085883  0.033916  0.067325  0.122692  0.023106
8.61  0.125033  0.064875  0.098916  0.051817  0.081618  0.122335  0.023692
8.62  0.138683  0.079845  0.110704  0.069769  0.095312  0.121816  0.024264
8.63  0.150536  0.094946  0.121118  0.087182  0.108102  0.121146  0.024789
8.64  0.160601  0.109986  0.130149  0.103509  0.119997  0.120342  0.025317
8.65  0.169004  0.124733  0.137821  0.118564  0.131021  0.119437  0.025842
8.66  0.176024  0.138934  0.144333  0.132384  0.141199  0.118479  0.026337
8.67  0.182006  0.152345  0.149809  0.145068  0.150288  0.117520  0.026802
8.68  0.187221  0.164752  0.154470  0.156616  0.158292  0.116604  0.027252
8.69  0.191876  0.175991  0.158530  0.166955  0.165436  0.115776  0.027681
8.70  0.196096  0.186003  0.162104  0.175954  0.171605  0.115074  0.028098
8.71  0.200022  0.194797  0.165412  0.183520  0.177075  0.114516  0.028487
8.72  0.203676  0.202427  0.168554  0.189689  0.182100  0.114098  0.028822
8.73  0.207126  0.209001  0.171617  0.194635  0.186727  0.113812  0.029081
8.74  0.210352  0.214650  0.174621  0.198639  0.190793  0.113644  0.029303
8.75  0.213334  0.219518  0.177645  0.202016  0.194608  0.113569  0.029494
